Simulation,Iteration,Estimated Distance,GDOP,Deviation,Actual Distance,Average Satellites Used
sim,1,530.421076017265,0.40636169934792576,25.178923982735,555.6,4.0
sim,2,531.4549709808874,0.3786108571547485,24.1450290191126,555.6,4.0
sim,3,525.4251200311867,0.3658117550497865,30.174879968813343,555.6,4.0
sim,4,943.4752319612254,0.37453622811894394,387.8752319612254,555.6,4.0
sim,5,545.4725633875125,0.37750822848355164,10.127436612487486,555.6,4.0
sim,6,525.7348986847427,0.3841973982767519,29.865101315257334,555.6,4.0
sim,7,524.6809040223047,0.3661967666395626,30.919095977695292,555.6,4.0
sim,8,525.8247214685339,0.3589739282963309,29.775278531466142,555.6,4.0
sim,10,537.0558544855126,0.3803820928888076,18.544145514487468,555.6,4.0
sim,11,525.104807879479,0.36570577877347005,30.495192120520983,555.6,4.0
sim,14,546.3445506991295,0.3672340011629425,9.25544930087051,555.6,4.0
sim,15,531.2741723777236,0.36496271052160617,24.325827622276393,555.6,4.0
sim,16,601.678267984466,0.3640815378110196,46.078267984465924,555.6,4.0
sim,17,525.6472038496642,0.3659813254620082,29.95279615033587,555.6,4.0
sim,18,526.8029775215076,0.41060217156315476,28.79702247849241,555.6,4.0
sim,19,529.3895925547383,0.3669679649872708,26.210407445261694,555.6,4.0
sim,21,526.0355203545485,0.36895671629620685,29.56447964545157,555.6,4.0
sim,22,525.4975883292055,0.3564685317900218,30.10241167079448,555.6,4.0
sim,23,526.5530212890088,0.3668760926817998,29.046978710991198,555.6,4.0
sim,25,527.5037900610668,0.3564720372260528,28.09620993893327,555.6,4.0
sim,26,524.8115906713822,0.37087391927073965,30.78840932861783,555.6,4.0
sim,27,525.7837447501219,0.35134205771745014,29.816255249878168,555.6,4.0
sim,28,524.0669405989308,0.3945878255274257,31.53305940106918,555.6,4.0
sim,29,526.1917769621108,0.364268306841796,29.40822303788923,555.6,4.0
sim,30,525.1374968173376,0.35947203028889296,30.46250318266243,555.6,4.0
sim,33,525.1733539067234,0.36408905316898665,30.426646093276645,555.6,4.0
sim,34,528.1796775325498,0.38037390328558834,27.420322467450205,555.6,4.0
sim,35,611.7263016310151,0.3676334721640648,56.12630163101505,555.6,4.0
sim,36,527.0620288305108,0.3837910055920122,28.537971169489197,555.6,4.0
sim,37,523.7500161347743,0.3947057823160682,31.84998386522568,555.6,4.0
sim,39,525.9707188146791,0.36319122093262124,29.629281185320906,555.6,4.0
sim,40,527.0080194899697,0.36481553426492086,28.59198051003034,555.6,4.0
sim,41,526.2273171467658,0.3858509519959682,29.37268285323421,555.6,4.0
sim,42,528.6009741199374,0.36983710783261964,26.999025880062618,555.6,4.0
sim,43,527.770948558421,0.35125391299420966,27.829051441579054,555.6,4.0
sim,44,525.8249619204443,0.37096346907191247,29.77503807955577,555.6,4.0
sim,45,529.1701647265783,0.34793816998278787,26.42983527342176,555.6,4.0
sim,46,524.4469188768129,0.3935678210033355,31.15308112318712,555.6,4.0
sim,47,526.022613789619,0.37160180847393237,29.577386210381064,555.6,4.0
sim,48,524.7617743682879,0.37473680840167717,30.838225631712135,555.6,4.0
sim,50,546.8781395505417,0.3769008593415161,8.72186044945829,555.6,4.0
sim,51,535.048998709582,0.41498018050626306,20.55100129041807,555.6,4.0
sim,52,524.4503326379945,0.3674049516340223,31.149667362005516,555.6,4.0
sim,53,569.502582669158,0.37251226088228523,13.902582669157937,555.6,4.0
sim,54,537.7053334066499,0.363654479120963,17.894666593350166,555.6,4.0
sim,56,535.0940474041763,0.36315296077032494,20.505952595823715,555.6,4.0
sim,59,524.4383484702518,0.363464238071545,31.16165152974827,555.6,4.0
sim,61,529.5726581913802,0.35570871310602703,26.02734180861978,555.6,4.0
sim,62,528.4881892963338,0.3647522997579447,27.111810703666265,555.6,4.0
sim,63,528.6488918609481,0.35450777613876405,26.95110813905194,555.6,4.0
sim,64,530.9007910343602,0.39673442404248216,24.699208965639855,555.6,4.0
sim,65,525.6590262122485,0.37848686514689356,29.940973787751545,555.6,4.0
sim,66,528.9277184582214,0.4041006942673641,26.672281541778602,555.6,4.0
sim,67,524.7067704455619,0.36563962527578675,30.893229554438108,555.6,4.0
