Simulation,Iteration,Estimated Distance,GDOP,Deviation,Actual Distance,Average Satellites Used
sim2,2,827.26828316409,0.3786591217351862,6.031716835910061,833.3000000000001,8.0
sim2,3,827.1143598848571,0.38585087239409155,6.185640115142974,833.3000000000001,8.0
sim2,4,826.960953683988,0.38625296596916553,6.339046316012059,833.3000000000001,8.0
sim2,5,831.510462122151,0.3956324790356182,1.7895378778490567,833.3000000000001,8.0
sim2,6,827.4918978209325,0.3657271933973857,5.808102179067532,833.3000000000001,8.0
sim2,9,970.9236056259791,0.4106844513375729,137.62360562597905,833.3000000000001,8.0
sim2,10,834.0529087272147,0.3923441020465658,0.7529087272146171,833.3000000000001,8.0
sim2,13,834.8176769171507,0.4102343895651001,1.5176769171506521,833.3000000000001,8.0
sim2,14,973.2493647183968,0.3920259342551258,139.94936471839674,833.3000000000001,8.0
sim2,15,4800.332497974365,0.3972047764523898,3967.0324979743646,833.3000000000001,8.0
sim2,16,827.1621661877592,0.3772517112818721,6.137833812240842,833.3000000000001,8.0
sim2,18,827.3048349791112,0.37286006823434953,5.995165020888862,833.3000000000001,8.0
sim2,19,827.5268835036735,0.3634520895010967,5.7731164963265655,833.3000000000001,8.0
sim2,22,1563.4807503255329,0.39450544330634796,730.1807503255328,833.3000000000001,8.0
sim2,23,827.2143296552249,0.3813167724395538,6.085670344775167,833.3000000000001,8.0
sim2,24,826.9847552327041,0.3886220907874304,6.315244767296008,833.3000000000001,8.0
sim2,25,827.7319243709269,0.3856774682881877,5.568075629073178,833.3000000000001,8.0
sim2,27,828.0204440827678,0.3884259505748947,5.279555917232301,833.3000000000001,8.0
sim2,28,829.8673812586245,0.4060570067413039,3.4326187413755633,833.3000000000001,8.0
sim2,29,828.3097705099607,0.4046137286516864,4.990229490039383,833.3000000000001,8.0
sim2,30,826.9589195385929,0.37995153296250933,6.341080461407159,833.3000000000001,8.0
sim2,31,831.1719865281616,0.39068113791104875,2.1280134718384716,833.3000000000001,8.0
sim2,32,835.8257443610272,0.39520908594341697,2.5257443610271366,833.3000000000001,8.0
sim2,33,827.5250179112218,0.3615373199355996,5.774982088778302,833.3000000000001,8.0
sim2,35,829.3681688989294,0.4106080790517341,3.9318311010706566,833.3000000000001,8.0
sim2,37,826.9932815446971,0.3888445464624624,6.306718455302985,833.3000000000001,8.0
sim2,38,826.9889253722581,0.4024245640815936,6.311074627741959,833.3000000000001,8.0
sim2,40,828.1604091800485,0.4048319586283278,5.139590819951536,833.3000000000001,8.0
sim2,41,827.0971506346394,0.381528804247955,6.202849365360635,833.3000000000001,8.0
sim2,42,832.9340087055149,0.39087498690057315,0.36599129448518397,833.3000000000001,8.0
sim2,43,835.3089669432012,0.39392691652909495,2.0089669432011306,833.3000000000001,8.0
sim2,44,827.2854167581587,0.3786842002049668,6.014583241841365,833.3000000000001,8.0
sim2,45,827.2817334411172,0.3852314011546688,6.018266558882829,833.3000000000001,8.0
sim2,46,832.8291708944694,0.4101802946203791,0.47082910553069723,833.3000000000001,8.0
sim2,47,827.4441574313454,0.3586799176390535,5.85584256865468,833.3000000000001,8.0
sim2,48,827.4148611645372,0.40001380884135074,5.88513883546284,833.3000000000001,8.0
sim2,49,838.235860900035,0.40870715720154016,4.935860900034982,833.3000000000001,8.0
sim2,50,827.1858286572345,0.37700614928076326,6.11417134276553,833.3000000000001,8.0
