Simulation,Iteration,Estimated Distance,GDOP,Deviation,Actual Distance,Average Satellites Used
sim,1,448.6764099052187,0.3896604345981376,106.92359009478133,555.6,4.0
sim,3,451.3584377786397,0.3636789900407568,104.24156222136031,555.6,4.0
sim,4,479.85982383226275,0.3640552575561594,75.74017616773727,555.6,4.0
sim,5,457.0657224564909,0.3767741737966688,98.53427754350912,555.6,4.0
sim,6,591.5642351586979,0.3641400686710432,35.964235158697875,555.6,4.0
sim,7,452.8212721283118,0.3755808842014258,102.7787278716882,555.6,4.0
sim,8,452.4331894894129,0.3665767524572365,103.16681051058714,555.6,4.0
sim,9,504.3596988154904,0.3752353088427448,51.24030118450963,555.6,4.0
sim,10,448.2929601961736,0.3514342721108222,107.3070398038264,555.6,4.0
sim,12,451.9999569969256,0.37202952102196846,103.6000430030744,555.6,4.0
sim,13,445.11749278685465,0.3787736700259378,110.48250721314537,555.6,4.0
sim,14,449.33481203645226,0.3961268470598294,106.26518796354776,555.6,4.0
sim,15,447.1154149066027,0.371494430897401,108.4845850933973,555.6,4.0
sim,17,446.8173980694211,0.3744734054485541,108.78260193057895,555.6,4.0
sim,19,446.3939031153358,0.37191004999769645,109.20609688466425,555.6,4.0
sim,20,446.0327577280202,0.3813209163282483,109.56724227197981,555.6,4.0
sim,21,442.47577423697226,0.36783235233857636,113.12422576302777,555.6,4.0
sim,22,581.4785847186736,0.4167827662187974,25.87858471867355,555.6,4.0
sim,23,449.87950555930644,0.35851332000128316,105.72049444069359,555.6,4.0
sim,24,448.8080622030772,0.36455182161571137,106.79193779692281,555.6,4.0
sim,25,576.2411685208588,0.3746619935809934,20.64116852085874,555.6,4.0
sim,26,451.9328284636802,0.3626873313484046,103.66717153631981,555.6,4.0
sim,27,488.9418059737413,0.36977340199929015,66.65819402625874,555.6,4.0
sim,28,443.96946688549406,0.39919592430036593,111.63053311450597,555.6,4.0
sim,29,449.76967166142964,0.3880057556888964,105.83032833857038,555.6,4.0
sim,30,449.06592584494797,0.407118029429791,106.53407415505205,555.6,4.0
sim,31,447.6225855885098,0.37291953922546606,107.9774144114902,555.6,4.0
sim,32,448.25938349841914,0.3883091778203347,107.34061650158088,555.6,4.0
sim,34,476.85444188242525,0.38639118140856693,78.74555811757477,555.6,4.0
sim,35,442.6859048994849,0.36895584849309393,112.91409510051511,555.6,4.0
sim,37,446.096445671185,0.388779818389105,109.50355432881503,555.6,4.0
sim,39,480.43104060114445,0.374035151014753,75.16895939885558,555.6,4.0
sim,41,460.8215978728366,0.3803927053141731,94.77840212716342,555.6,4.0
sim,42,480.95180890913326,0.3665819527387255,74.64819109086676,555.6,4.0
sim,43,444.5712210146735,0.3885133801463673,111.02877898532654,555.6,4.0
sim,45,445.26519256798275,0.3874336816689707,110.33480743201727,555.6,4.0
sim,46,452.2879859942585,0.376041509319265,103.3120140057415,555.6,4.0
sim,48,456.8486028158249,0.41387168786818934,98.75139718417512,555.6,4.0
sim,49,448.4085149114974,0.3660555881191996,107.19148508850265,555.6,4.0
sim,51,449.2722248322105,0.375250441747621,106.32777516778953,555.6,4.0
sim,52,442.3211915981739,0.37108422426579457,113.2788084018261,555.6,4.0
sim,53,449.22173832913484,0.37018586628042505,106.37826167086519,555.6,4.0
sim,56,445.69671888280067,0.35328974666289525,109.90328111719936,555.6,4.0
sim,57,454.7883750207313,0.3847126084704186,100.81162497926874,555.6,4.0
sim,58,477.32899206630987,0.372052313205346,78.27100793369016,555.6,4.0
sim,59,463.66560415366433,0.37925500114503136,91.93439584633569,555.6,4.0
sim,60,603.9439526453306,0.3873318535429467,48.343952645330546,555.6,4.0
sim,61,467.5430176484145,0.413748383512742,88.05698235158553,555.6,4.0
sim,62,448.59410187352177,0.3624576548068641,107.00589812647826,555.6,4.0
sim,63,447.53874075417673,0.35845094306837777,108.0612592458233,555.6,4.0
sim,64,560.6415505235514,0.3693644575566502,5.0415505235513365,555.6,4.0
sim,65,456.10377905223896,0.37633509615984456,99.49622094776106,555.6,4.0
sim,66,458.0978253535262,0.40837743370569607,97.5021746464738,555.6,4.0
sim,68,460.1132679303947,0.4099189761765241,95.4867320696053,555.6,4.0
sim,69,446.7257383923186,0.38487216831598603,108.87426160768143,555.6,4.0
sim,70,2916.8449434367867,0.3826483877336091,2361.244943436787,555.6,4.0
sim,71,456.1011203443322,0.3790845275392048,99.49887965566785,555.6,4.0
sim,72,449.98196378084936,0.3686151130566344,105.61803621915067,555.6,4.0
sim,73,449.0329942541712,0.4078146189154377,106.56700574582885,555.6,4.0
sim,74,449.3794261452038,0.3600287973595182,106.22057385479621,555.6,4.0
sim,75,556.3016924161291,0.36528332136030356,0.701692416129049,555.6,4.0
sim,76,446.6186766600677,0.412045324337572,108.98132333993232,555.6,4.0
sim,77,918.7951838953317,0.3946297218756075,363.19518389533164,555.6,4.0
sim,78,458.73723345336657,0.36484578830114756,96.86276654663345,555.6,4.0
sim,79,447.3342098458952,0.35166737602947706,108.26579015410482,555.6,4.0
sim,80,434.2720184457388,0.40885329263690245,121.32798155426121,555.6,4.0
sim,81,452.75018284725655,0.40170634912602887,102.84981715274347,555.6,4.0
sim,82,461.4676127506286,0.37221676240339713,94.13238724937145,555.6,4.0
sim,84,458.94929936910586,0.3700535048742493,96.65070063089416,555.6,4.0
sim,85,445.4031340291447,0.38318508637159737,110.1968659708553,555.6,4.0
sim,87,468.2573191561304,0.36914234647406985,87.34268084386963,555.6,4.0
sim,89,446.14812238427885,0.357892718694156,109.45187761572117,555.6,4.0
sim,90,1356.1342056165076,0.37941693430456075,800.5342056165076,555.6,4.0
sim,91,453.9579880910565,0.3639552180100258,101.64201190894352,555.6,4.0
sim,92,468.7703476988439,0.3650306496348953,86.8296523011561,555.6,4.0
sim,93,448.49940464392716,0.3601867614345142,107.10059535607286,555.6,4.0
sim,94,442.4824268645277,0.3677317777725348,113.1175731354723,555.6,4.0
sim,95,452.63166576669715,0.3809325203469099,102.96833423330287,555.6,4.0
sim,96,446.1411931825028,0.3576231962638068,109.45880681749725,555.6,4.0
sim,97,443.10647670546143,0.38345431240233985,112.49352329453859,555.6,4.0
sim,98,448.5475789799988,0.3855980060928858,107.05242102000125,555.6,4.0
sim,99,452.05043114170354,0.3619775465171155,103.54956885829648,555.6,4.0
sim,100,467.18351502563706,0.37816694797876876,88.41648497436296,555.6,4.0
sim,102,448.1799254831898,0.3460294619813795,107.42007451681025,555.6,4.0
sim,103,446.2192638797906,0.3552877628785051,109.3807361202094,555.6,4.0
sim,104,466.61513063468885,0.41278144351678603,88.98486936531117,555.6,4.0
sim,105,443.89598563979376,0.378515242347063,111.70401436020626,555.6,4.0
sim,106,453.46775790390654,0.4011722316797527,102.13224209609348,555.6,4.0
sim,107,446.0175313271354,0.3672891441539644,109.58246867286465,555.6,4.0
sim,108,447.72625567499,0.36064446697727226,107.87374432501002,555.6,4.0
sim,109,483.4053396587646,0.3634454757881237,72.19466034123542,555.6,4.0
sim,110,449.9321807969508,0.3710123690066858,105.66781920304925,555.6,4.0
sim,111,450.5596021724536,0.36221130301809545,105.04039782754643,555.6,4.0
sim,112,565.0289516907626,0.37005726456890164,9.428951690762574,555.6,4.0
sim,114,448.25513680529673,0.3560201747392719,107.3448631947033,555.6,4.0
sim,115,444.190752327835,0.36957496023528535,111.40924767216501,555.6,4.0
sim,116,533.5361158543129,0.38800748681422836,22.063884145687098,555.6,4.0
sim,117,450.0100756539215,0.3560328888446787,105.58992434607853,555.6,4.0
sim,118,4367.46256050561,0.37417140505224206,3811.86256050561,555.6,4.0
sim,119,449.4028148014591,0.36941530632607944,106.19718519854092,555.6,4.0
sim,120,11128.275308372493,0.3645902178044752,10572.675308372493,555.6,4.0
sim,121,445.6191560646376,0.3754976187084679,109.98084393536243,555.6,4.0
sim,122,470.9193842818576,0.3880662373368455,84.6806157181424,555.6,4.0
sim,123,448.7450794650671,0.35292119051603565,106.85492053493294,555.6,4.0
sim,125,444.53706115060515,0.3840834398605152,111.06293884939487,555.6,4.0
sim,126,447.7287731042031,0.3535141910657251,107.8712268957969,555.6,4.0
sim,129,447.9457365927091,0.37564312977352465,107.6542634072909,555.6,4.0
sim,131,460.1121267885413,0.41383947710376306,95.48787321145875,555.6,4.0
sim,132,450.48358208653985,0.39946303319192816,105.11641791346017,555.6,4.0
sim,135,478.71702080970636,0.413394403036743,76.88297919029367,555.6,4.0
sim,136,454.88144133910623,0.41219567342439767,100.71855866089379,555.6,4.0
sim,137,447.7960948330937,0.3709543739422932,107.8039051669063,555.6,4.0
sim,140,505.38538847077666,0.3791775770452859,50.21461152922336,555.6,4.0
sim,141,458.4243052828401,0.38322380147230034,97.1756947171599,555.6,4.0
sim,142,783.3680079860735,0.38655634422450175,227.76800798607348,555.6,4.0
sim,145,1337.7231145425258,0.3834113684545728,782.1231145425257,555.6,4.0
sim,147,573.7773448922554,0.38475751304175176,18.177344892255405,555.6,4.0
sim,148,456.9227188492971,0.3607670775008276,98.67728115070292,555.6,4.0
sim,150,445.2516972363147,0.3712956238416664,110.3483027636853,555.6,4.0
sim,151,878.9208184906064,0.3731429405318389,323.32081849060637,555.6,4.0
sim,152,450.8408227596042,0.3699799191244512,104.75917724039584,555.6,4.0
sim,153,488.2568545224922,0.3638840425854151,67.34314547750785,555.6,4.0
sim,154,444.46017424149954,0.3662210774791676,111.13982575850048,555.6,4.0
sim,155,464.72650819198225,0.3640022684331901,90.87349180801777,555.6,4.0
sim,156,486.5712407340126,0.37304929832023687,69.02875926598745,555.6,4.0
sim,157,452.7374684999183,0.37588937251374716,102.86253150008173,555.6,4.0
sim,158,495.1389324553856,0.37219583520940924,60.46106754461442,555.6,4.0
sim,159,450.55669031330825,0.3801669440473988,105.04330968669177,555.6,4.0
sim,160,445.9119109355841,0.39161104261301216,109.68808906441592,555.6,4.0
sim,162,449.0453280704238,0.37459972936202585,106.55467192957622,555.6,4.0
sim,163,454.77793897660206,0.3822535730227248,100.82206102339796,555.6,4.0
sim,164,450.04612822846195,0.37466323706505666,105.55387177153807,555.6,4.0
sim,165,448.939845831686,0.3497326571696428,106.66015416831402,555.6,4.0
sim,166,491.28975831557574,0.3649744120473919,64.31024168442428,555.6,4.0
sim,167,446.72374865474484,0.3533372121398504,108.87625134525518,555.6,4.0
sim,168,457.8331518853888,0.3845634899556918,97.76684811461121,555.6,4.0
sim,170,449.80504775756043,0.3717167578322061,105.79495224243959,555.6,4.0
sim,172,447.7959576747472,0.4033166233926517,107.8040423252528,555.6,4.0
sim,173,447.4829482793067,0.3710771554805374,108.11705172069333,555.6,4.0
sim,175,446.0946414634724,0.40966882083811584,109.50535853652764,555.6,4.0
sim,177,510.93446753050785,0.3786293440444808,44.66553246949218,555.6,4.0
sim,178,444.2136063237481,0.370045316145485,111.38639367625194,555.6,4.0
sim,179,449.4382787203073,0.35228999035326436,106.1617212796927,555.6,4.0
